index,title,sapo,category
1,Chiêm ngưỡng loạt đồ lưu niệm được bán trong Bảo tàng Nintendo khiến mọi game thủ ước ao,"Dạo một vòng quanh cửa hàng đồ chơi lưu niệm của bảo tàng Nintendo, game thủ nhìn món gì cũng sẽ muốn mua.",Apps/Games
2,Ngự Kiếm Sinh Tồn: Chơi game quét quái tu tiên cứ ngỡ lạc vào tiểu thuyết tiên hiệp,"Ngự Kiếm Sinh Tồn đã chính thức ra mắt phiên bản open beta từ hôm nay! Trò chơi hiện đã có sẵn trên App Store và Google Play, người chơi có thể tải xuống và trải nghiệm ngay tựa game tu tiên độc đáo này!",Apps/Games
3,"""Huyền thoại"" Winamp công bố mã nguồn mở",Người dùng có thể nghiên cứu và cải tiến mã nguồn của Winamp từ ngày hôm nay.,Apps/Games
4,"Kaspersky tự ý cài phần mềm diệt virus ""vô danh"" vào PC khiến người dùng phẫn nộ",Hiện những thay đổi này có vẻ như chỉ áp dụng đối với người dùng Kaspersky tại Mỹ.,Apps/Games
5,"Xuất hiện game thủ Black Myth: Wukong quá ""hardcore"", đạt cấp độ tối đa, hoàn thành 100% nội dung và thành tựu",Thành tích của anh chàng game thủ này đang khiến cộng đồng Black Myth: Wukong rất nể phục.,Apps/Games
6,"Tính năng mới của Facebook khiến cộng đồng lo ngại: Fake news, ""ném đá giấu tay"" liệu có lộng hành?",Tình trạng thật – giả lẫn lộn trên Facebook được ví là môi trường mà các đối tượng “ném đá giấu tay” hay lợi dụng để thực hiện các hành vi xấu.,Apps/Games
7,"Sau khi ""đoạn tuyệt"" Android, Huawei xác nhận sắp ra mắt hệ điều hành thay thế Windows",Quan chức cấp cao của Huawei còn cho biết lô laptop hiện tại có thể là dòng máy cuối cùng sử dụng Windows.,Apps/Games
8,"Trong lúc chờ Apple Intelligence, đây là tính năng tôi thấy thích thú nhất từ ngày lên iOS 18",iOS 18 mang đến nhiều thay đổi đáng chú ý và iPhone Mirroring chính là tính năng mà bất kỳ người dùng nào cũng nên thử qua.,Mobile
9,"""Ngồi rung đùi"" vẫn kiếm 1 tỷ mỗi ngày, đâu là lý do thực sự khiến Nguyễn Hà Đông xóa Flappy Bird khi đang ở đỉnh cao?","Flappy Bird gây sốt toàn cầu, thu hút hơn 50 triệu lượt tải, mỗi ngày thu 1 tỷ đồng từ tiền quảng cáo nhưng Nguyễn Hà Đông đã xóa đi ứng dụng trò chơi này.",Apps/Games
10,"10 năm từ ngày Flappy Bird gây bão thế giới: Hút hơn 50 triệu lượt tải, mỗi ngày thu 1 tỷ đồng, đưa lập trình viên người Việt vào kỷ lục Guinness!","Theo nhận xét của nhiều chuyên gia, có thể coi Flappy Bird của Nguyễn Hà Đông là niềm tự hào của ngành ứng dụng Việt Nam xét trên cả phương diện thành công về lượt tải hay mức doanh thu.",Apps/Games
11,"Đầu tư 400 triệu USD trong 6 năm, founder Feng Ji biến giấc mơ Black Myth: Wukong thành hiện thực, doanh thu dự kiến đạt 1 tỷ USD nhờ 35 triệu bản bán ra","Feng cho biết ước mơ của anh là tạo ra các tựa game PC kinh phí lớn hay 3A/AAA, theo thuật ngữ chuyên ngành. Ba chữ A có nghĩa là “rất nhiều thời gian”, “rất nhiều nguồn lực” và “rất nhiều tiền”.",Apps/Games
12,"Nguyễn Hà Đông: ""Tôi không liên quan đến trò chơi của họ, tôi không bán bất cứ thứ gì và cũng không ủng hộ tiền điện tử""","Mới đây, Nguyễn Hà Đông, ""cha đẻ"" Flappy Bird, đã chính thức khẳng định không liên quan đến phiên bản của Flappy Bird Foundation.",Apps/Games
13,Xu hướng chuyển dịch nền tảng chơi game của thời đại mới,Xu hướng lựa chọn thiết bị chơi game của người chơi đang dần thay đổi trong những năm qua.,Apps/Games
14,"Rockstar có động thái mới, GTA 6 vẫn sẽ ra mắt đúng ""kế hoạch""",Động thái mới này từ phía Rockstar đang làm dấy lên những tranh cãi trái chiều trong cộng đồng GTA 6.,Apps/Games
15,"Xuất hiện vô số ""tool"" siêu cần thiết của Black Myth: Wukong, hữu ích với mọi game thủ","Nếu đã chán trải nghiệm Black Myth: Wukong theo cách thông thường, đây là lúc các game thủ cần dùng tới những bản mod dưới đây.",Apps/Games
16,Flappy Bird bất ngờ hồi sinh nhưng không còn liên quan đến Nguyễn Hà Đông?,"Thay vào đó, một tổ chức mang tên ""Flappy Bird Foundation"" là đơn vị đứng sau sự trở lại này, tuy nhiên còn nhiều ẩn số.",Apps/Games
17,"YouTube Content Star 2024 quy tụ dàn khách mời ""khủng"" của làng game, Cris Devil Gamer và MisThy đều góp mặt","Nhiều cái tên YouTuber hàng đầu Cris Devil Gamer, MisThy, Huy Oppa… sẽ xuất hiện trong chương trình thực tế về sáng tạo nội dung Free Fire - Content Star 2024.",Apps/Games
18,Điểm mặt những tựa game xuất hiện trong sự kiện ra mắt Apple iPhone 16,Apple đã hé lộ rất nhiều tựa game thú vị trong buổi live vừa qua.,Apps/Games
19,Black Myth: Wukong xuất hiện phiên bản 4 nút,Đây là một trải nghiệm rất khác với siêu phẩm Black Myth: Wukong.,Apps/Games
20,"Roblox không còn chỉ là 'sân chơi' của trẻ em: Lợi nhuận khủng, đặt mục tiêu 1 tỷ người dùng","Khi Roblox tiến gần hơn đến mục tiêu 1 tỷ người dùng, công ty này đang tìm cách mới để chia sẻ doanh thu với các nhà phát triển, những người đã tạo ra hàng triệu trò chơi trên nền tảng này.",Apps/Games
21,"Lộ diện tựa game cho game thủ tự tay chế tác ""smartphone trong mơ"", nhập vai thành CEO công ty sản xuất điện thoại di động","Giữa ""cơn bão"" tin đồn về iPhone 16, một tựa game mô phỏng hấp dẫn mang tên Mad Smartphone Tycoon cho phép người chơi tự do ""nhào nặn"" chiếc smartphone trong mơ của riêng mình.",Apps/Games
22,YouTube Content Star - Cuộc thi sáng tạo dành riêng cho game thủ Free Fire khu vực Đông Nam Á,"Trước đây được biết đến với tên gọi ""Spark Your Fire"", cuộc thi này nhằm nuôi dưỡng những nhà sáng tạo Free Fire tiềm năng thông qua các thử thách sáng tạo nội dung.",Apps/Games
23,"Lộ diện ông trùm đứng sau Black Myth: Wukong: Sở hữu công ty giá trị tỷ đô, lọt danh sách 30 Under 30” của Forbes","Cuối cùng, nhân vật đứng sau tựa game đình đám Black Myth: Wukong cũng đã lộ diện.",Apps/Games
